Latitude,Longitude,Name,Description,Type
40.78433279,-73.95790271,Cooper Hewitt,I really enjoyed their exhibit on concert set designs - I don't know if that was a temporary exhibition but their other stuff is also very interesting.,museum
40.79252825,-73.95204682,Museum of the City of New York,Learn about the history of New York City.,museum
40.86529457,-73.93162891,The Met Cloisters,I don't care for medieval art but I still would say this museum is something you cannot miss.,museum
40.76149621,-73.97165925,PHILLIPS,I wandered here with my coworker during our lunch break and they house a very significant collection of contemporary art pieces by famous artists. More niche stuff you'd find in private collections rather than museums.,museum
40.7456284,-73.947097,MoMA PS1,Come here to experience a super neat James Turrell piece. Your life will be changed.,museum
40.76686173,-73.93806463,The Noguchi Museum,Very unique sculptures and you'll feel like you're in Japan.,museum
40.6713201,-73.96361987,Brooklyn Museum,The giant KAWS sculpture in the lobby made me laugh out loud ...,museum
40.74648022,-73.99415932,The Museum at FIT,I made a detour in the middle of a walk because the door said free entry. Cool exhibits on fashion.,museum
40.76110965,-73.98016169,UBS Lobby,I kept seeing ads on the subway for UBS's art collection accesible to the public - so I had to make my way there. Some interesting stuff; I think they rotate exhibits every few months or so.,museum
40.7492339,-73.98138637,The Morgan Library & Museum,Stunning library inside. You can't actually read the books sadly. They also have free jazz on Friday evenings.,museum
40.69055048,-73.99004329,New York Transit Museum,You don't even have to like trains that much to enjoy this museum. I honestly could've spent many hours here.,museum
40.64341873,-74.10273977,Snug Harbor Cultural Center,"Part of the fun is riding the Staten Island Ferry to get here. Pretty gardens, although slightly unmaintained.",park
40.71491739,-74.0053957,African Burial Ground Visitor Center,Barely anyone knows this place exists but everyone should come here to educate themselves.,museum
40.77323075,-73.9814889,American Folk Art Museum,Admission is free and they have cool pieces inside.,museum
40.69076604,-73.96406124,Pratt Institute Sculpture Park,I'm not sure how publicly accessible the campus is meant to be but I walked in with confidence and was able to get in. Their sculpture garden is gorgeous in the summer and fall and is shaded by large mature trees.,park
40.69147552,-73.97502693,Fort Green Park,I love the landscape and energy at Fort Greene Park - an undervisited gem in NYC.,park
